Customer ID,Gender,Age,Tenure in Months,Internet Type,Contract,Payment Method,Monthly Charge,Total Charges,Customer Status
0002-ORFBO,Female,37,9,Cable,One Year,Credit Card,65.6,593.3,Stayed
0003-MKNFE,Male,46,9,Cable,Month-to-Month,Credit Card,-4,542.4,Stayed
0004-TLHLJ,Male,50,4,Fiber Optic,Month-to-Month,Bank Withdrawal,73.9,280.85,Churned
0011-IGKFF,Male,78,13,Fiber Optic,Month-to-Month,Bank Withdrawal,98,1237.85,Churned
0013-EXCHZ,Female,75,3,Fiber Optic,Month-to-Month,Credit Card,83.9,267.4,Churned
0013-MHZWF,Female,23,9,Cable,Month-to-Month,Credit Card,69.4,571.45,Stayed
0013-SMEOE,Female,67,71,Fiber Optic,Two Year,Bank Withdrawal,109.7,7904.25,Stayed
0014-BMAQU,Male,52,63,Fiber Optic,Two Year,Credit Card,84.65,5377.8,Stayed
0015-UOCOJ,Female,68,7,DSL,Two Year,Bank Withdrawal,48.2,340.35,Stayed
0016-QLJIS,Female,43,65,Cable,Two Year,Credit Card,90.45,5957.9,Stayed
0017-DINOC,Male,47,54,Cable,Two Year,Credit Card,45.2,2460.55,Stayed
0017-IUDMW,Female,25,72,Fiber Optic,Two Year,Credit Card,116.8,8456.75,Stayed
0018-NYROU,Female,58,5,Fiber Optic,Month-to-Month,Bank Withdrawal,68.95,351.5,Stayed
0019-EFAEP,Female,32,72,Fiber Optic,Two Year,Bank Withdrawal,101.3,7261.25,Stayed
0019-GFNTW,Female,39,56,DSL,Two Year,Bank Withdrawal,45.05,2560.1,Stayed
0020-INWCK,Female,58,71,Fiber Optic,Two Year,Credit Card,95.75,6849.4,Stayed
0020-JDNXP,Female,52,34,DSL,One Year,Credit Card,61.25,1993.2,Stayed
0021-IKXGC,Female,72,1,Fiber Optic,One Year,Bank Withdrawal,72.1,72.1,Joined
0022-TCJCI,Male,79,45,DSL,One Year,Credit Card,62.7,2791.5,Churned
0023-HGHWL,Male,67,1,Cable,Month-to-Month,Bank Withdrawal,25.1,25.1,Churned
0023-UYUPN,Female,79,50,,One Year,Bank Withdrawal,25.2,1306.3,Stayed
0023-XUOPT,Female,26,13,Fiber Optic,Month-to-Month,Bank Withdrawal,94.1,1215.6,Churned
0027-KWYKW,Female,30,23,Fiber Optic,Month-to-Month,Bank Withdrawal,83.75,1849.95,Stayed
0030-FNXPP,Female,22,3,,Month-to-Month,Credit Card,19.85,57.2,Joined
0031-PVLZI,Female,34,4,,Month-to-Month,Credit Card,20.35,76.35,Churned
0032-PGELS,Female,37,1,DSL,Month-to-Month,Bank Withdrawal,30.5,30.5,Churned
0036-IHMOT,Female,37,55,Fiber Optic,One Year,Bank Withdrawal,103.7,5656.75,Stayed
0040-HALCW,Male,42,54,,Two Year,Credit Card,20.4,1090.6,Stayed
0042-JVWOJ,Male,64,26,,One Year,Bank Withdrawal,19.6,471.85,Stayed
0042-RLHYP,Female,47,69,,Two Year,Bank Withdrawal,19.7,1396.9,Stayed
0048-LUMLS,Male,23,37,Fiber Optic,One Year,Credit Card,91.2,3247.55,Stayed
0048-PIHNL,Female,48,49,,One Year,Bank Withdrawal,20.45,900.9,Stayed
0052-DCKON,Male,28,66,Fiber Optic,One Year,Bank Withdrawal,-2,7942.15,Stayed
0052-YNYOT,Female,28,67,,One Year,Bank Withdrawal,20.55,1343.4,Stayed
0056-EPFBG,Male,33,20,Cable,Two Year,Credit Card,39.4,825.4,Stayed
0057-QBUQH,Female,31,43,,Two Year,Bank Withdrawal,25.1,1070.15,Stayed
0058-EVZWM,Female,37,55,Fiber Optic,Month-to-Month,Bank Withdrawal,89.8,4959.6,Stayed
0060-FUALY,Female,60,59,Fiber Optic,Month-to-Month,Bank Withdrawal,94.75,5597.65,Stayed
0064-SUDOG,Female,48,12,,Two Year,Bank Withdrawal,20.3,224.5,Stayed
0064-YIJGF,Male,60,27,Fiber Optic,Month-to-Month,Bank Withdrawal,75.75,1929,Stayed
0067-DKWBL,Male,69,2,DSL,Month-to-Month,Bank Withdrawal,49.25,91.1,Churned
0068-FIGTF,Female,20,27,DSL,One Year,Credit Card,78.2,2078.95,Stayed
0071-NDAFP,Male,31,25,,Two Year,Credit Card,25.5,630.6,Stayed
0074-HDKDG,Male,46,25,Cable,One Year,Bank Withdrawal,61.6,1611,Stayed
0076-LVEPS,Male,57,29,DSL,Month-to-Month,Credit Card,45,1242.45,Stayed
0078-XZMHT,Male,19,72,DSL,Two Year,Bank Withdrawal,85.15,6316.2,Stayed
0080-EMYVY,Female,64,14,Cable,One Year,Credit Card,51.45,727.85,Stayed
0080-OROZO,Female,38,35,Fiber Optic,One Year,Bank Withdrawal,99.25,3532,Stayed
0082-LDZUE,Male,54,1,DSL,Month-to-Month,Credit Card,44.3,44.3,Joined
0082-OQIQY,Male,50,29,Fiber Optic,Month-to-Month,Bank Withdrawal,94.2,2607.6,Stayed
0083-PIVIK,Male,25,64,DSL,One Year,Bank Withdrawal,81.25,5567.55,Stayed
0089-IIQKO,Female,35,39,Fiber Optic,Month-to-Month,Credit Card,99.95,3767.4,Stayed
0093-EXYQL,Female,72,40,Fiber Optic,Two Year,Bank Withdrawal,91.55,3673.6,Stayed
0093-XWZFY,Male,51,40,Fiber Optic,Month-to-Month,Credit Card,104.5,4036.85,Churned
0094-OIFMO,Female,78,11,Fiber Optic,Month-to-Month,Bank Withdrawal,95,1120.3,Churned
0096-BXERS,Female,30,6,Cable,Month-to-Month,Bank Withdrawal,50.35,314.55,Stayed
0096-FCPUF,Male,58,30,DSL,Month-to-Month,Mailed Check,64.5,1888.45,Stayed
0098-BOWSO,Male,26,27,,Month-to-Month,Bank Withdrawal,19.4,529.8,Stayed
0100-DUVFC,Male,66,70,Fiber Optic,One Year,Bank Withdrawal,104.8,7308.95,Stayed
0103-CSITQ,Female,20,57,Fiber Optic,One Year,Bank Withdrawal,109.4,6252.7,Stayed
0104-PPXDV,Male,61,58,DSL,One Year,Credit Card,50.3,2878.55,Stayed
0106-GHRQR,Male,24,16,DSL,Month-to-Month,Bank Withdrawal,71.4,1212.1,Stayed
0106-UGRDO,Female,55,69,Fiber Optic,Two Year,Bank Withdrawal,116,8182.85,Stayed
0107-WESLM,Male,32,1,,Month-to-Month,Bank Withdrawal,19.85,19.85,Churned
0107-YHINA,Male,59,1,Fiber Optic,Month-to-Month,Bank Withdrawal,99.75,99.75,Churned
0111-KLBQG,Male,71,32,Fiber Optic,One Year,Mailed Check,93.95,2861.45,Stayed
0112-QAWRZ,Male,49,16,Fiber Optic,Month-to-Month,Bank Withdrawal,90.8,1442.2,Stayed
0112-QWPNC,Male,61,49,Cable,One Year,Bank Withdrawal,84.35,4059.35,Churned
0114-IGABW,Female,40,71,Cable,Two Year,Bank Withdrawal,58.25,4145.9,Stayed
0114-PEGZZ,Female,39,33,Fiber Optic,Month-to-Month,Bank Withdrawal,107.55,3645.5,Stayed
0114-RSRRW,Female,21,10,,Month-to-Month,Bank Withdrawal,19.95,187.75,Stayed
0115-TFERT,Male,24,21,Fiber Optic,Month-to-Month,Bank Withdrawal,111.2,2317.1,Churned
0117-LFRMW,Male,52,37,DSL,Month-to-Month,Bank Withdrawal,40.2,1448.8,Churned
0118-JPNOY,Female,71,26,Fiber Optic,Month-to-Month,Credit Card,85.8,2193.65,Stayed
0121-SNYRK,Male,45,50,DSL,One Year,Credit Card,35.4,1748.9,Stayed
0122-OAHPZ,Female,29,7,Fiber Optic,Month-to-Month,Bank Withdrawal,73.85,511.25,Churned
0123-CRBRT,Female,62,61,DSL,Two Year,Mailed Check,88.1,5526.75,Stayed
0125-LZQXK,Male,42,15,Fiber Optic,Month-to-Month,Bank Withdrawal,101.35,1553.95,Churned
0128-MKWSG,Female,51,26,DSL,Month-to-Month,Credit Card,45.8,1147,Stayed
0129-KPTWJ,Male,39,72,Fiber Optic,Month-to-Month,Bank Withdrawal,94.65,6747.35,Stayed
0129-QMPDR,Male,64,44,,One Year,Bank Withdrawal,20.5,865.05,Stayed
0130-SXOUN,Male,55,66,Fiber Optic,Month-to-Month,Credit Card,89.4,5976.9,Stayed
0133-BMFZO,Female,40,2,Fiber Optic,Month-to-Month,Bank Withdrawal,86.25,181.65,Churned
0134-XWXCE,Female,76,44,DSL,One Year,Bank Withdrawal,74.85,3268.05,Stayed
0135-NMXAP,Female,57,12,Fiber Optic,Month-to-Month,Bank Withdrawal,89.75,1052.4,Churned
0136-IFMYD,Male,71,69,Fiber Optic,Two Year,Bank Withdrawal,109.95,7634.25,Stayed
0137-OCGAB,Female,25,1,Fiber Optic,Month-to-Month,Mailed Check,80.2,80.2,Churned
0137-UDEUO,Female,24,3,,Month-to-Month,Credit Card,19.85,63.75,Churned
0139-IVFJG,Female,19,2,Fiber Optic,Month-to-Month,Bank Withdrawal,90.35,190.5,Joined
0141-YEAYS,Female,77,27,Fiber Optic,Two Year,Bank Withdrawal,86.45,2401.05,Stayed
0142-GVYSN,Male,57,26,,Month-to-Month,Bank Withdrawal,20.3,511.25,Stayed
0147-ESWWR,Female,73,39,Fiber Optic,Month-to-Month,Bank Withdrawal,101.25,3949.15,Stayed
0148-DCDOS,Male,41,25,Fiber Optic,Month-to-Month,Bank Withdrawal,94.7,2362.1,Churned
0151-ONTOV,Female,43,1,Fiber Optic,Month-to-Month,Mailed Check,70.9,70.9,Churned
0156-FVPTA,Male,48,22,DSL,Month-to-Month,Bank Withdrawal,54.2,1152.7,Churned
0164-APGRB,Female,56,72,Fiber Optic,Two Year,Bank Withdrawal,114.9,8496.7,Stayed
0164-XAIRP,Female,51,24,,Two Year,Bank Withdrawal,19.55,470.2,Stayed
0168-XZKBB,Female,34,19,Fiber Optic,Month-to-Month,Bank Withdrawal,86.85,1564.4,Stayed
0174-QRVVY,Male,21,71,,Two Year,Credit Card,25.35,1847.55,Stayed
0177-PXBAT,Male,78,33,Fiber Optic,One Year,Bank Withdrawal,109.9,3694.7,Stayed
0178-CIIKR,Female,60,3,,Month-to-Month,Credit Card,19.95,58,Joined
0178-SZBHO,Male,54,47,Fiber Optic,Month-to-Month,Bank Withdrawal,87.2,4017.45,Stayed
0181-RITDD,Male,42,62,Fiber Optic,Two Year,Credit Card,108.15,6825.65,Stayed
0186-CAERR,Male,22,71,Fiber Optic,One Year,Bank Withdrawal,116.3,8309.55,Stayed
0187-QSXOE,Male,71,7,Fiber Optic,Two Year,Bank Withdrawal,89,605.45,Stayed
0187-WZNAB,Female,56,27,Fiber Optic,Month-to-Month,Credit Card,74.4,1972.35,Stayed
0188-GWFLE,Male,33,2,,Month-to-Month,Credit Card,20.05,33.7,Joined
0191-EQUUH,Female,32,25,Cable,Two Year,Bank Withdrawal,35.05,844.45,Stayed
0191-ZHSKZ,Male,80,30,DSL,One Year,Bank Withdrawal,74.75,2111.3,Stayed
0193-ESZXP,Female,73,58,Fiber Optic,One Year,Credit Card,105.5,6205.5,Churned
0195-IESCP,Male,26,10,Fiber Optic,Month-to-Month,Bank Withdrawal,85.25,855.3,Churned
0196-JTUQI,Female,59,9,Fiber Optic,Month-to-Month,Credit Card,75.2,633.85,Stayed
0196-VULGZ,Female,78,6,Fiber Optic,Month-to-Month,Bank Withdrawal,84.35,474.9,Churned
0197-PNKNK,Female,47,69,Fiber Optic,One Year,Bank Withdrawal,84.45,5848.6,Stayed
0201-MIBOL,Female,68,66,Fiber Optic,Two Year,Bank Withdrawal,102.4,6471.85,Stayed
0201-OAMXR,Female,30,70,Fiber Optic,One Year,Credit Card,115.55,8127.6,Churned
0203-HHYIJ,Male,62,25,,One Year,Bank Withdrawal,25.3,676.35,Churned
0206-OYVOC,Female,52,46,,Two Year,Credit Card,19.25,864.2,Stayed
0206-TBWLC,Female,63,54,Fiber Optic,One Year,Credit Card,114.65,6049.5,Stayed
0207-MDKNV,Female,54,15,Fiber Optic,Month-to-Month,Bank Withdrawal,105.1,1582.75,Churned
0208-BPQEJ,Female,48,12,,Month-to-Month,Bank Withdrawal,19.4,198.1,Stayed
0212-ISBBF,Female,51,22,Cable,Month-to-Month,Bank Withdrawal,50.35,1098.85,Stayed
0214-JHPFW,Female,22,70,Cable,Two Year,Bank Withdrawal,57.8,4039.3,Stayed
0215-BQKGS,Male,52,30,Fiber Optic,Month-to-Month,Credit Card,84.3,2438.6,Stayed
0218-QNVAS,Male,22,71,Fiber Optic,One Year,Bank Withdrawal,100.55,7113.75,Stayed
0219-QAERP,Male,33,30,,One Year,Credit Card,19.8,576.65,Stayed
0219-YTZUE,Male,26,4,Fiber Optic,Month-to-Month,Bank Withdrawal,84.8,371.9,Churned
0220-EBGCE,Male,58,2,Fiber Optic,Month-to-Month,Bank Withdrawal,85.85,167.3,Churned
0221-NAUXK,Male,22,10,,One Year,Bank Withdrawal,19.95,219.5,Stayed
0221-WMXNQ,Male,66,4,Fiber Optic,One Year,Bank Withdrawal,75.35,273.4,Stayed
0222-CNVPT,Male,69,52,DSL,Two Year,Credit Card,48.8,2555.05,Stayed
0224-HJAPT,Male,25,5,Cable,Month-to-Month,Bank Withdrawal,47.15,223.15,Churned
0224-NIJLP,Male,30,8,,Two Year,Credit Card,20.15,165.5,Stayed
0224-RLWWD,Female,73,2,Cable,One Year,Bank Withdrawal,44.3,89.3,Joined
0225-ZORZP,Male,46,3,Fiber Optic,Month-to-Month,Bank Withdrawal,84.3,235.05,Joined
0228-MAUWC,Male,40,19,DSL,Month-to-Month,Bank Withdrawal,59.55,1144.6,Stayed
0229-LFJAF,Male,53,72,DSL,Two Year,Bank Withdrawal,69.65,4908.25,Stayed
0230-UBYPQ,Male,76,63,DSL,One Year,Bank Withdrawal,36.1,2298.9,Stayed
0230-WEQUW,Male,38,66,DSL,Two Year,Bank Withdrawal,56.6,3789.2,Stayed
0231-LXVAP,Male,23,1,Fiber Optic,Month-to-Month,Bank Withdrawal,75.9,75.9,Churned
0233-FTHAV,Female,24,60,Fiber Optic,One Year,Bank Withdrawal,79.2,4765,Stayed
0234-TEVTT,Female,43,48,DSL,One Year,Credit Card,45,2196.3,Stayed
0235-KGSLC,Female,45,1,Fiber Optic,Month-to-Month,Credit Card,85.55,85.55,Churned
0236-HFWSV,Male,49,15,Fiber Optic,Month-to-Month,Bank Withdrawal,93.35,1444.65,Churned
